Date d'Affectation,Poste,Matricule,Arrêt,Qualité,Horaire,Type,Remplacant,Jour,Placement,Jr_pl
,907,,,,Jour,,,,1933,6
,417,,,,Jour,,,,1400,7
,918,,,,Jour,,,,,
,918,,,,Jour,,,,1941,7
,919,,,,Jour,,,,1434,7
,920,,,,Jour,,,,1454,7
,923,,,,Jour,,,,1926,7
,924,,,,Jour,,,,1430,7
,926,,,,Jour,,,,1200,7
,224,,,,Jour,,,,1871,3
,224,,,,Jour,,,,2013,3
,224,,,,Jour,,,,1871,4
,224,,,,Jour,,,,2013,4
,417,,,,Jour,,,,293,6
,287,,,,Jour,,,,1674,6
,126,,,,Jour,,,,138,7
,930,,,,Jour,,,,2003,7
,931,,,,Jour,,,,1400,7
,932,,,,Jour,,,,1942,7
,933,,,,Jour,,,,1454,7
,934,,,,Jour,,,,1933,7
,935,,,,Jour,,,,1434,7
,203,13,,,Jour,,1543,6,,
,156,33,,,Jour,,136,2,,
,682,44,,,Jour,,160,7,,
,463,154,,,Jour,,1846,5,,
,315,203,,,Jour,,1448,7,,
,406,236,,,Jour,,23,5,,
,327,237,,,Jour,,1421,7,,
,199,238,14/08/2014,,Jour,,1546,7,,
,922,238,,,Jour,,,,,
,824,239,22/08/2014,,Jour,,1462,6,,
,585,240,,,Jour,,1860,6,,
,416,241,,,Jour,,1796,6,,
,373,242,,,Jour,,1592,7,,
,889,243,21/08/2014,,Jour,,,,,
25/08/2014,893,243,,,Jour,,188,3,,
,878,243,31/07/2014,,Jour,,905,5,,
,344,244,,,Jour,,1373,6,,
,442,245,,,Jour,,137,7,,
,612,246,,,Jour,,109,6,,
,141,247,,,Jour,,39,6,,
,388,248,,,Jour,,1604,7,,
,58,249,,,Jour,,1872,7,,
,298,250,,,Jour,,150,5,,
,12,251,,,Jour,,108,7,,
,539,252,,,Jour,,1870,7,,
,651,253,14/08/2014,,Jour,,144,5,,
,16,254,,,Jour,,1687,7,,
,629,256,,,Jour,,150,7,,
,282,257,,,Jour,,1555,6,,
,831,258,,,Jour,,220,2,,
,372,261,,,Jour,,1413,7,,
,1,262,12/08/2014,,Jour,,140,6,,
,252,263,,,Jour,,185,7,,
,794,264,,,Jour,,1177,6,,
,23,265,,,Jour,,1988,6,,
,23,266,,,Jour,,1988,7,,
,432,267,,,Jour,,1801,6,,
,561,268,,,Jour,,1429,6,,
02/08/2014,44,269,20/08/2014,,Jour,,1496,7,,
,506,269,31/07/2014,,Jour,,1726,7,,
,878,269,22/08/2014,,Jour,,,5,,
25/08/2014,936,269,,,Jour,,,,,
,868,270,,,Jour,,909,6,,
,377,271,,,Jour,,1810,7,,
,376,272,,,Jour,,283,1,,
,779,273,,,Jour,,899,5,,
,592,274,,,Jour,,1831,6,,
,751,285,08/08/2014,,Jour,,19,6,,
,212,286,,,Jour,,7,7,,
,30,287,,,Jour,,1483,6,,
,30,288,,,Jour,,1483,2,,
,164,290,,,Jour,,1816,6,,
,844,291,,,Jour,,1075,3,,
,32,294,,,Jour,,1358,7,,
,32,295,,,Jour,,1358,6,,
,33,296,,,Jour,,179,6,,
,358,297,,,Jour,,1775,1,,
,585,298,,,Jour,,1860,7,,
,477,299,,,Jour,,1342,6,,
,135,300,,,Jour,,1499,7,,
,38,301,,,Jour,,1330,7,,
,541,302,,,Jour,,24,6,,
,515,303,,,Jour,,123,7,,
,328,303,25/08/2014,,Jour,,1533,7,,
,394,304,,,Jour,,1860,5,,
,436,305,,,Jour,,1406,7,,
,307,306,,,Jour,,1559,1,,
,595,307,,,Jour,,1379,6,,
,257,308,,,Jour,,1244,7,,
05/08/2014,399,309,07/08/2014,,Jour,,1353,7,,
10/08/2014,622,309,,,Jour,,1674,5,,
,44,310,01/08/2014,,Jour,,1496,7,,
,798,311,06/08/2014,,Jour,,1472,7,,
,209,312,,,Jour,,376,1,,
,36,313,,,Jour,,1559,7,,
,47,314,20/08/2014,,Jour,,219,5,,
,635,315,06/08/2014,,Jour,,1766,1,,
,925,315,,,Jour,,,,,
,49,316,,,Jour,,1378,5,,
,435,317,,,Jour,,1805,7,,
,801,320,,,Jour,,224,6,,
,285,322,16/08/2014,,Jour,,204,6,,
,699,323,,,Jour,,1866,7,,
,55,324,10/08/2014,,Jour,,1801,7,,
,420,325,,,Jour,,25,2,,
,243,326,,,Jour,,15,7,,
,843,327,,,Jour,,1355,5,,
03/08/2014,174,328,,,Jour,,1884,7,,
,174,328,02/08/2014,,Jour,,824,7,,
,26,329,10/08/2014,,Jour,,1338,6,,
,541,330,13/08/2014,,Jour,,24,5,,
,129,331,,,Jour,,200,7,,
,60,332,,,Jour,,144,7,,
,60,333,,,Jour,,144,6,,
,585,334,,,Jour,,1574,4,,
,869,335,,,Jour,,1001,5,,
,453,336,,,Jour,,144,1,,
,594,337,,,Jour,,568,7,,
,426,338,,,Jour,,966,6,,
,867,339,,,Jour,,1741,6,,
,77,340,16/08/2014,,Jour,,1413,2,,
,66,341,,,Jour,,1446,7,,
,209,342,,,Jour,,663,6,,
,569,343,,,Jour,,1815,6,,
,14,344,,,Jour,,125,7,,
,579,345,,,Jour,,966,7,,
,367,346,,,Jour,,41,3,,
,691,347,,,Jour,,895,6,,
,844,348,,,Jour,,1075,2,,
,39,349,,,Jour,,1140,7,,
,876,350,,,Jour,,1712,6,,
,458,351,,,Jour,,1707,6,,
,28,352,16/08/2014,,Jour,,1400,7,,
,28,352,,,Jour,,1498,7,,
,320,353,,,Jour,,1322,3,,
,581,354,,,Jour,,971,5,,
,177,355,,,Jour,,901,7,,
,737,356,,,Jour,,1763,5,,
,127,357,,,Jour,,454,6,,
,353,358,,,Jour,,1340,6,,
,494,359,,,Jour,,184,7,,
,839,360,,,Jour,,1616,7,,
,254,361,,,Jour,,71,6,,
05/08/2014,906,362,22/08/2014,,Jour,,,,,
,239,362,04/08/2014,,Jour,,897,4,,
,81,363,,,Jour,,1590,2,,
,308,364,,,Jour,,39,7,,
,4,365,,,Jour,,1209,5,,
,29,366,,,Jour,,1787,6,,
,110,367,,,Jour,,168,7,,
,169,368,,,Jour,,2022,5,,
,274,369,,,Jour,,195,7,,
,620,370,,,Jour,,1927,5,,
,87,371,,,Jour,,1400,5,,
,189,372,,,Jour,,190,7,,
,870,377,,,Jour,,1421,6,,
,833,378,,,Jour,,,3,,
,59,379,,,Jour,,1483,5,,
,150,380,,,Jour,,1395,6,,
,311,381,,,Jour,,1564,7,,
,591,382,,,Jour,,58,7,,
,356,384,,,Jour,,1510,7,,
,685,385,,,Jour,,91,6,,
,2,386,,,Jour,,19,7,,
,303,387,,,Jour,,216,5,,
,659,388,,,Jour,,1575,5,,
,128,389,,,Jour,,98,1,,
,572,390,,,Jour,,1832,7,,
,661,391,17/08/2014,,Jour,,1446,4,,
,101,392,,,Jour,,1590,6,,
,101,393,,,Jour,,1471,7,,
,102,394,,,Jour,,1409,7,,
,407,395,04/08/2014,,Jour,,319,5,,
25/08/2014,407,395,,,Jour,,1547,5,,
,119,396,,,Jour,,1593,1,,
,216,397,,,Jour,,1636,6,,
,684,398,,,Jour,,590,1,,
,9,399,,,Jour,,600,3,,
,634,400,,,Jour,,1617,7,,
,558,401,01/08/2014,,Jour,,122,6,,
21/08/2014,558,401,,,Jour,,122,6,,
,664,403,,,Jour,,1811,7,,
,107,404,,,Jour,,1615,7,,
,107,405,15/08/2014,,Jour,,1615,6,,
,381,406,,,Jour,,1774,6,,
,134,407,,,Jour,,1352,4,,
,791,408,,,Jour,,1716,7,,
,344,409,,,Jour,,1373,5,,
,740,410,,,Jour,,765,4,,
,95,411,,,Jour,,1693,5,,
,843,412,,,Jour,,1075,6,,
,548,413,,,Jour,,1511,6,,
,818,414,,,Jour,,1477,7,,
,827,415,,,Jour,,145,6,,
,228,416,11/08/2014,,Jour,,82,5,,
14/08/2014,541,416,,,Jour,,24,5,,
,117,418,,,Jour,,1774,4,,
,108,419,,,Jour,,1678,6,,
,674,420,,,Jour,,765,2,,
,866,421,,,Jour,,1348,7,,
,258,427,,,Jour,,165,7,,
,96,428,,,Jour,,147,6,,
,740,429,06/08/2014,,Jour,,1345,7,,
,691,430,,,Jour,,897,7,,
,46,431,,,Jour,,1345,1,,
,61,432,,,Jour,,101,6,,
,848,433,,,Jour,,149,7,,
,680,434,,,Jour,,1446,6,,
,82,435,,,Jour,,1832,1,,
,567,436,,,Jour,,279,7,,
,633,437,,,Jour,,189,1,,
,858,438,,,Jour,,149,5,,
,286,439,,,Jour,,902,7,,
,112,440,,,Jour,,177,6,,
,211,441,,,Jour,,1808,6,,
,454,442,,,Jour,,1763,7,,
,376,443,,,Jour,,374,2,,
,397,444,,,Jour,,1140,5,,
,451,445,,,Jour,,1200,5,,
,717,446,,,Jour,,1801,5,,
05/08/2014,407,447,06/08/2014,,Jour,,1547,5,,
10/08/2014,917,447,16/08/2014,,Jour,,,,,
,657,447,04/08/2014,,Jour,,23,7,,
,260,448,,,Jour,,1116,5,,
,511,449,,,Jour,,147,7,,
