D_affect,P,N,Qualite,Horaire,Type,R,Jour,Arrêt,Placement,Jr_pl
01-Dec-21,4777,2067N,,Nuit,,,,05-Jan-22,,
01-Dec-22,4445,201328217,,Nuit,,,,13-Mar-22,,
01-Dec-21,895N,857N,,Nuit,,,4,09-Mar-22,,
01-Jan-22,4779,2067N,,Jour,,,,01-Jan-22,,
01-Jan-22,4065,2067N,,Jour,,693N,6,22-Mar-22,,
01-Jan-22,38J,7080,,Jour,,,6,22-Mar-22,,
01-Jan-22,4122,2067N,,Nuit,,,,26-Mar-22,,
01-Jan-22,4122,2067N,,Nuit,,,,26-Mar-22,,
01-Jan-22,4122,2067N,,Nuit,,,,01-Jan-22,,
01-Jan-22,2692,2067N,,Jour,,,,13-Jan-22,,
01-Jan-22,2692,2067N,,Jour,,,,26-Mar-22,,
01-Jan-22,2692,2067N,,Jour,,,,01-Jul-22,,
01-Jan-22,124N,9599,,Nuit,,5548,3,24-Mar-22,,
01-Jan-22,2424,9599,,Nuit,,5548,1,09-Jan-22,,
02-Jan-22,386N,922761284,,Nuit,,7826,2,07-Aug-22,,
02-Jan-22,2208,201327702,,Nuit,,1740N,3,17-Feb-23,,
02-Jan-22,4539,2067N,,Jour,,7590,6,20-Jan-22,,
01-Jan-22,4128,10385,,Nuit,,922759732,1,,,
01-Jan-22,4023,922761040,,Nuit,,1151N,1,30-Jan-22,,
28-Dec-21,227N,201327652,,Nuit,,922760353,2,18-Jan-22,,
27-Dec-21,227N,1216N,,Nuit,,922760353,4,26-Feb-22,,
02-Jan-22,493J,,,Jour,,922760725,6,02-Jan-22,,
02-Jan-22,305J,800J,,Jour,,1625J,6,27-May-22,,
02-Jan-22,4459,6323,,Jour,,9053,7,11-Dec-22,,
02-Jan-22,168J,2067N,,Jour,,,3,20-Apr-22,,
02-Jan-22,3948,922761193,,Jour,,6691,7,30-Jan-22,,
02-Jan-22,3715,201327795,,Jour,,922761229,2,22-Feb-22,,
27-Dec-21,3273,1048J,,Jour,,,6,19-Sep-22,,
04-Jan-22,506J,2067N,,Jour,,,,05-Jan-22,,
03-Jan-22,4780,922760544,,Nuit,,,,06-May-22,,
04-Jan-22,4339,384N,,Nuit,,,,15-Feb-22,,
02-Jan-22,871N,10390,,Nuit,,201328156,3,23-Mar-23,,
02-Jan-22,461N,922760638,,Nuit,,6318,2,30-Jan-22,,
03-Jan-22,4781,694N,,Nuit,,,,12-Feb-22,,
03-Jan-22,4781,10387,,Nuit,,,,16-Mar-22,,
03-Jan-22,4782,9618,,Jour,,,,25-Mar-22,,
02-Jan-22,4710,922761080,,Nuit,,,1,11-Jan-22,,
02-Jan-22,4704,1194N,,Nuit,,,2,12-Jan-22,,
02-Jan-22,4669,922759777,,Nuit,,922761305,4,03-Mar-22,,
02-Jan-22,4712,2067N,,Jour,,,6,01-Feb-22,,
02-Jan-22,4713,922759715,,Nuit,,,3,08-Feb-22,,
02-Jan-22,4616,726N,,Jour,,,,01-Jul-22,,
02-Jan-22,602J,1099J,,Jour,,922760095,4,01-Feb-22,,
02-Jan-22,3184,922761232,,Jour,,201327994,3,08-Apr-22,,
02-Jan-22,774J,2067N,,Jour,,,4,12-Jan-22,,
02-Jan-22,204N,438N,,Nuit,,6458,1,18-May-22,,
02-Jan-22,4445,922760418,,Nuit,,6458,3,15-Feb-22,,
02-Jan-22,2593,922760048,,Nuit,,6458,2,18-May-22,,
02-Jan-22,227J,922760738,,Jour,,6458,7,14-Feb-22,,
02-Jan-22,477J,2067N,,Jour,,6458,6,20-Dec-21,,
02-Jan-22,2217,8945,,Nuit,,,1,12-Jan-22,,
02-Jan-22,994N,1112N,,Nuit,,,2,12-Jan-22,,
02-Jan-22,4142,1215N,,Nuit,,,4,12-Jan-22,,
02-Jan-22,830J,9440,,Jour,,,7,12-Jan-22,,
02-Jan-22,598J,5873,,Jour,,,6,12-Jan-22,,
02-Jan-22,2924,343N,,Nuit,,,3,12-Jan-22,,
02-Jan-22,4751,922761211,,Nuit,,,1,20-Feb-22,,
02-Jan-22,4751,922761208,,Nuit,,,2,20-Feb-22,,
02-Jan-22,4737,960J,,Jour,,,4,13-Mar-22,,
02-Jan-22,4737,201327768,,Jour,,,6,13-Mar-22,,
