D_affect,P,N,Qualite,Horaire,Type,R,Jour,Arrêt,Placement,Jr_pl
10-Nov-15,812N,6493,,Nuit,,,5,07-Feb-16,,
10-Mar-15,813J,4664,,Jour,,479J,5,30-Mar-15,,
,813N,888N,,Nuit,,1483N,3,02-Sep-14,,
,814J,805J,,Jour,,1358J,7,23-Sep-14,,
01-Jan-16,814N,396N,,Nuit,,4593,1,06-Mar-16,,
13-May-15,815J,877J,,Jour,,275N,7,17-Apr-16,,
,815N,49N,,Nuit,,1291N,2,20-Aug-14,,
,815N,529N,,Nuit,,1291N,3,04-Oct-14,,
,816J,1249J,,Jour,,1525J,7,08-Sep-14,,
,816N,985N,,Nuit,,1615N,2,31-Dec-14,,
,817J,552J,,Jour,,122J,5,15-Jan-15,,
,817N,1055N,,Nuit,,,7,04-Jan-15,,
,818J,414J,,Jour,,,7,12-Oct-16,,
,818J,845J,,Jour,,1330J,6,06-Aug-14,,
,818N,1193N,,Nuit,,1800N,5,04-Jan-15,,
,819N,1740N,,Nuit,,2003N,3,25-Apr-16,,
,81J,363J,,Jour,,1590J,2,11-Sep-14,,
,81N,1414N,,Nuit,,1787N,2,04-Aug-14,,
,820J,1165J,,Jour,,720J,7,21-Aug-14,,
,820N,191N,,Nuit,,1675N,3,30-Nov-14,,
03-Jun-15,821J,861J,,Jour,,1423J,7,13-May-16,,
,821N,1383N,,Nuit,,2258N,1,24-Oct-14,,
,822J,539J,,Jour,,5594,1,16-Jun-16,,
,822N,1066N,,Nuit,,1211J,2,14-Nov-14,,
,823J,1212J,,Jour,,1813J,6,17-Aug-14,,
,823J,2005J,,Jour,,,7,07-Feb-16,,
,823N,332N,,Nuit,,1908N,1,12-Jan-15,,
,824J,239J,,Jour,,1462J,6,22-Aug-14,,
,824N,1422N,,Nuit,,905N,2,01-Aug-14,,
,825J,1644J,,Jour,,,7,06-Mar-16,,
,825N,549N,,Nuit,,4983,3,17-Feb-15,,
,826J,1228J,,Jour,,1570J,1,11-Jul-16,,
11-Sep-15,826N,6194,,Nuit,,220J,1,08-Nov-17,,
,827J,415J,,Jour,,145J,6,23-Jun-16,,
,827N,2402N,,Nuit,,1535N,2,22-Aug-14,,
,827N,801N,,Nuit,,588N,4,01-Nov-14,,
22-Oct-14,828J,4701,,Jour,,6224,6,19-Apr-16,,
,828N,641N,,Nuit,,2135N,3,21-Aug-16,,
,829J,928J,,Jour,,1939J,6,10-Oct-14,,
,829N,382N,,Nuit,,1455N,1,10-Oct-16,,
,82J,435J,,Jour,,2285N,1,21-Dec-14,,
26-Apr-18,82N,1203N,,Nuit,,6307,1,26-Apr-18,,
,82N,620N,,Nuit,,142N,2,23-Sep-14,,
,847N,1997N,,Nuit,,,3,13-Nov-16,,
,848J,433J,,Jour,,149J,7,29-Oct-14,,
,848N,349N,,Nuit,,5127,3,10-Feb-16,,
13-May-15,849J,1048J,,Jour,,6275,6,18-Feb-16,,
,849N,521N,,Nuit,,67N,2,31-Jul-14,,
,84N,1755N,,Nuit,,116N,3,13-Dec-14,,
,850N,748N,,Nuit,,1570J,4,25-Aug-16,,
,851N,341N,,Nuit,,6260,1,24-Jan-16,,
,851N,965N,,Nuit,,1549N,3,30-Nov-14,,
03-Oct-14,852N,2028N,,Nuit,,223N,2,12-Nov-14,,
,853N,318N,,Nuit,,1601N,4,15-Dec-14,,
,854N,782N,,Nuit,,1827N,2,01-Dec-14,,
,855N,415N,,Nuit,,7N,4,24-Feb-15,,
,856N,1081N,,Nuit,,1604J,2,27-Jan-15,,
,856N,723N,,Nuit,,1604J,4,06-Jan-15,,
28-Apr-15,857N,739N,,Nuit,,,5,01-Feb-16,,
06-Dec-15,857N,2160N,,Nuit,,6118,4,05-Apr-16,,
,858J,438J,,Jour,,149J,5,26-Sep-14,,
,858N,1214N,,Nuit,,1659N,4,24-Nov-14,,
,858N,253N,,Nuit,,1659N,3,15-Dec-14,,
,859J,1724J,,Jour,,1812J,3,25-Dec-14,,
,859J,850J,,Jour,,,7,02-May-16,,
,859N,1967N,,Nuit,,1600N,3,09-Mar-16,,
,859N,777N,,Nuit,,1799N,5,01-Dec-14,,
,85J,6546,,Jour,,,7,08-Aug-16,,
,85N,347N,,Nuit,,1540N,1,09-Oct-14,,
,860J,1049J,,Jour,,1725J,6,27-Oct-14,,
,860J,882J,,Jour,,1725J,7,31-Mar-15,,
,860N,809N,,Nuit,,2192N,2,24-Feb-15,,
23-May-15,861J,1174J,,Jour,,5870,2,15-Sep-19,,
,861J,1739J,,Jour,,5870,3,16-Feb-16,,
,861N,2050N,,Nuit,,1775N,3,02-Jan-15,,
,862J,1033J,,Jour,,605J,6,17-Mar-15,,
,862N,2071N,,Nuit,,1799J,7,04-Apr-15,,
,863J,1204J,,Jour,,1509J,7,13-Oct-14,,
,863N,1926N,,Nuit,,,1,01-Feb-16,,
,864J,1729J,,Jour,,1833J,6,18-Dec-14,,
,864N,666N,,Nuit,,23J,2,31-Mar-15,,
28-Apr-15,865J,5590,,Jour,,4836,7,31-Aug-15,,
21-Jan-16,865N,5400,,Nuit,,1848N,1,27-Jan-16,,
,866J,421J,,Jour,,1348J,7,31-Oct-14,,
05-Jun-15,866J,561J,,Jour,,,7,31-Jan-16,,
10-Apr-15,866J,875J,,Jour,,5906,6,06-Feb-16,,
,866N,1105N,,Nuit,,1540N,2,03-Aug-14,,
,866N,870N,,Nuit,,1782N,1,03-Nov-14,,
31-May-15,867J,339J,,Jour,,1741J,5,14-Feb-16,,
10-May-15,867J,592J,,Jour,,1741J,6,06-Feb-16,,
,867N,1427N,,Nuit,,306N,3,01-Nov-14,,
,867N,1951N,,Nuit,,5N,2,29-Oct-14,,
,867N,958N,,Nuit,,5N,1,29-Oct-14,,
,868J,270J,,Jour,,909J,6,10-Mar-16,,
02-Nov-15,868N,1360N,,Nuit,,,3,27-Jan-16,,
01-Sep-15,868N,910N,,Nuit,,1499N,4,09-Jun-16,,
06-Oct-15,869J,6295,,Jour,,1001J,5,31-Mar-16,,
22-May-15,869N,5869,,Nuit,,6116,2,13-Mar-16,,
01-Jan-16,86J,4780,,Jour,,1557J,1,10-Feb-16,,
15-May-15,86N,5754,,Nuit,,6244,3,11-Jan-18,,
,870J,377J,,Jour,,,6,31-Mar-16,,
,870J,602J,,Jour,,279J,7,14-Jan-15,,
,870N,1078N,,Nuit,,2141N,4,11-Aug-14,,
,871J,996J,,Jour,,1687J,6,09-Mar-16,,
27-Oct-15,871N,5139,,Nuit,,5634,2,20-Nov-16,,
,872J,1751J,,Jour,,1652J,2,13-Jan-15,,
,872N,386N,,Nuit,,1990N,2,17-Oct-14,,
,872N,571N,,Nuit,,944N,4,11-Aug-14,,
,873J,1752J,,Jour,,1144J,7,13-Nov-17,,
,874J,1753J,,Jour,,1749J,1,02-Feb-15,,
,874N,4733,,Nuit,,76N,5,30-Nov-14,,
11-Aug-15,875J,504J,,Jour,,5870,1,08-Oct-15,,
21-Jan-16,875N,6720,,Nuit,,5979,1,20-Mar-16,,
09-Aug-15,876J,1632J,,Jour,,2263N,7,20-Jul-16,,
22-Jul-15,876J,350J,,Jour,,,6,06-Feb-16,,
,876N,2217N,,Nuit,,1638N,1,18-Jan-15,,
,877J,1756J,,Jour,,1812J,5,31-Dec-14,,
10-May-15,877N,0,,Nuit,,1553N,3,15-May-15,,
,878J,1076J,,Jour,,908J,7,22-Aug-14,,
,878J,243J,,Jour,,905J,5,31-Jul-14,,
,878J,269J,,Jour,,J,5,22-Aug-14,,
,878N,1248N,,Nuit,,1473N,3,26-May-16,,
,879N,305N,,Nuit,,1507N,1,04-Aug-14,,
,87J,371J,,Jour,,1763J,5,09-Mar-16,,
,87N,165N,,Nuit,,2230N,5,07-Aug-14,,
,87N,634N,,Nuit,,2230N,4,07-Aug-14,,
,880N,791N,,Nuit,,6502,4,03-Feb-16,,
,880N,945N,,Nuit,,69N,1,03-Aug-14,,
,881N,5340,,Nuit,,5239,5,18-Feb-16,,
,881N,5673,,Nuit,,6571,1,15-Feb-16,,
28-Jun-15,881N,4547,,Nuit,,5683,2,18-Feb-16,,
,882N,802N,,Nuit,,203N,4,05-Dec-14,,
19-Sep-15,882N,6200,,Nuit,,1705N,1,30-Mar-16,,
,883N,337N,,Nuit,,1796N,2,12-Dec-14,,
,884N,1400N,,Nuit,,1532N,2,30-Jun-15,,
,885N,810N,,Nuit,,5824,1,17-May-17,,
,886N,1137N,,Nuit,,5591,2,23-May-17,,
,887N,2218N,,Nuit,,588N,3,05-Aug-14,,
,887N,807N,,Nuit,,1615N,4,31-Jul-14,,
,887N,808N,,Nuit,,1549N,3,28-Feb-15,,
,888N,814N,,Nuit,,1553N,3,10-Jul-16,,
